raw_comp_writers_text,CLEAN_TEXT,split_phrases,preproc_phrases,PREPROC_OUT,"ner_phrases_pos_(0.25, 0.25)","NER_OUT_pos_(0.25, 0.25)",ner_phrases_drop_(0.25),NER_OUT_drop_(0.25),reference_labels,predicted_labels,all_phrases,edit_distance,bleu_score
Laurie Berkner,Laurie Berkner,['Laurie Berkner'],['Laurie Berkner'],Laurie Berkner,['Laurie Berkner'],Laurie Berkner,['Laurie Berkner'],Laurie Berkner,[1],[1],['Laurie Berkner'],0,1.0
​convolk,​convolk,['\u200bconvolk'],['convolk'],convolk,['convolk'],convolk,[],,[1],[0],['\u200bconvolk'],8,0.0
Jaylin Javon Luckett,Jaylin Javon Luckett,['Jaylin Javon Luckett'],['Jaylin Javon Luckett'],Jaylin Javon Luckett,['Jaylin Javon Luckett'],Jaylin Javon Luckett,['Jaylin Javon Luckett'],Jaylin Javon Luckett,[1],[1],['Jaylin Javon Luckett'],0,1.0
Jon Bon Jovi/Desmond Child/Richie Sambora/Bruce Fairbairn,Jon Bon Jovi/Desmond Child/Richie Sambora/Bruce Fairbairn,"['Jon Bon Jovi', 'Desmond Child', 'Richie Sambora', 'Bruce Fairbairn']","['Jon Bon Jovi', 'Desmond Child', 'Richie Sambora', 'Bruce Fairbairn']",Jon Bon Jovi/Desmond Child/Richie Sambora/Bruce Fairbairn,"['Jon Bon Jovi', 'Desmond Child', 'Richie Sambora', 'Bruce Fairbairn']",Jon Bon Jovi/Desmond Child/Richie Sambora/Bruce Fairbairn,"['Jon Bon Jovi', 'Desmond Child', 'Richie Sambora', 'Bruce Fairbairn']",Jon Bon Jovi/Desmond Child/Richie Sambora/Bruce Fairbairn,"[1, 1, 1, 1]","[1, 1, 1, 1]","['Jon Bon Jovi', 'Desmond Child', 'Bruce Fairbairn', 'Richie Sambora']",0,1.0
Jerry Finn/Mark Hoppus/Travis Barker,Jerry Finn/Mark Hoppus/Travis Barker,"['Jerry Finn', 'Mark Hoppus', 'Travis Barker']","['Jerry Finn', 'Mark Hoppus', 'Travis Barker']",Jerry Finn/Mark Hoppus/Travis Barker,"['Jerry Finn', 'Mark Hoppus', 'Travis Barker']",Jerry Finn/Mark Hoppus/Travis Barker,"['Jerry Finn', 'Mark Hoppus', 'Travis Barker']",Jerry Finn/Mark Hoppus/Travis Barker,"[1, 1, 1]","[1, 1, 1]","['Jerry Finn', 'Travis Barker', 'Mark Hoppus']",0,1.0
"Mario ""El Cachorro"" Delgado","Mario ""El Cachorro"" Delgado","['Mario ""El Cachorro"" Delgado']","['Mario ""El Cachorro"" Delgado']","Mario ""El Cachorro"" Delgado","['Mario ""El Cachorro"" Delgado']","Mario ""El Cachorro"" Delgado","['Mario ""El Cachorro"" Delgado']","Mario ""El Cachorro"" Delgado",[1],[1],"['Mario ""El Cachorro"" Delgado']",0,1.0
Ezu/The PropheC/PropheC Productions,Ezu/The PropheC/PropheC Productions,"['Ezu', 'The PropheC', 'PropheC Productions']","['Ezu', 'The PropheC', 'PropheC Productions']",Ezu/The PropheC/PropheC Productions,"['Ezu', 'The PropheC', 'PropheC Productions']",Ezu/The PropheC/PropheC Productions,"['Ezu', 'The PropheC']",Ezu/The PropheC,"[1, 1, 1]","[1, 0, 1]","['Ezu', 'PropheC Productions', 'The PropheC']",20,0.19180183554164504
Andrew Lloyd Webber/Timothy Miles Bindon Rice,Andrew Lloyd Webber/Timothy Miles Bindon Rice,"['Andrew Lloyd Webber', 'Timothy Miles Bindon Rice']","['Andrew Lloyd Webber', 'Timothy Miles Bindon Rice']",Andrew Lloyd Webber/Timothy Miles Bindon Rice,"['Andrew Lloyd Webber', 'Timothy Miles Bindon Rice']",Andrew Lloyd Webber/Timothy Miles Bindon Rice,"['Andrew Lloyd Webber', 'Timothy Miles Bindon Rice']",Andrew Lloyd Webber/Timothy Miles Bindon Rice,"[1, 1]","[1, 1]","['Andrew Lloyd Webber', 'Timothy Miles Bindon Rice']",0,1.0
BAEZ GABRIEL/COLON RUBEN DOMINGO (MR),BAEZ GABRIEL/COLON RUBEN DOMINGO,"['BAEZ GABRIEL', 'COLON RUBEN DOMINGO', 'MR']","['BAEZ GABRIEL', 'COLON RUBEN DOMINGO', 'MR']",BAEZ GABRIEL/COLON RUBEN DOMINGO/MR,"['BAEZ GABRIEL', 'COLON RUBEN DOMINGO', 'MR']",BAEZ GABRIEL/COLON RUBEN DOMINGO/MR,"['BAEZ GABRIEL', 'COLON RUBEN DOMINGO', 'MR']",BAEZ GABRIEL/COLON RUBEN DOMINGO/MR,"[0, 1, 1]","[1, 1, 1]","['MR', 'BAEZ GABRIEL', 'COLON RUBEN DOMINGO']",3,0.5773502691896257
Derek Vincent Smith,Derek Vincent Smith,['Derek Vincent Smith'],['Derek Vincent Smith'],Derek Vincent Smith,['Derek Vincent Smith'],Derek Vincent Smith,['Derek Vincent Smith'],Derek Vincent Smith,[1],[1],['Derek Vincent Smith'],0,1.0
